com_insee,com_nom,reg_nom,dep_nom,latitude_mairie,longitude_mairie,score_de_ville
21153,Châtellenot,Bourgogne-Franche-Comté,Côte-d'Or,47.238,4.488,0.3171345434143312
21451,Nesle-et-Massoult,Bourgogne-Franche-Comté,Côte-d'Or,47.778,4.427,0.3335170919600038
21651,Val-Suzon,Bourgogne-Franche-Comté,Côte-d'Or,47.427,4.909,0.3414978870954856
21413,Millery,Bourgogne-Franche-Comté,Côte-d'Or,47.514,4.318,0.3374493589306609
21450,Nantoux,Bourgogne-Franche-Comté,Côte-d'Or,47.035,4.76,0.3182431003755698
21633,Thorey-sous-Charny,Bourgogne-Franche-Comté,Côte-d'Or,47.33,4.45,0.3178114659197149
21455,Nod-sur-Seine,Bourgogne-Franche-Comté,Côte-d'Or,47.773,4.599,0.304699733818891
21426,Montberthault,Bourgogne-Franche-Comté,Côte-d'Or,47.461,4.158,0.3067104566398287
21354,Longecourt-lès-Culêtre,Bourgogne-Franche-Comté,Côte-d'Or,47.16,4.551,0.3457707505369365
21221,Cussy-la-Colonne,Bourgogne-Franche-Comté,Côte-d'Or,47.042,4.648,0.3228771522730153
21489,Poiseul-la-Grange,Bourgogne-Franche-Comté,Côte-d'Or,47.577,4.794,0.314899018444632
21098,Boux-sous-Salmaise,Bourgogne-Franche-Comté,Côte-d'Or,47.473,4.644,0.318027460213283
21342,Laperrière-sur-Saône,Bourgogne-Franche-Comté,Côte-d'Or,47.106,5.346,0.3298679401270478
21169,Chevannes,Bourgogne-Franche-Comté,Côte-d'Or,47.159,4.834,0.3015470840008159
21222,Cussy-le-Châtel,Bourgogne-Franche-Comté,Côte-d'Or,47.164,4.585,0.3492325076553856
21301,Glanon,Bourgogne-Franche-Comté,Côte-d'Or,47.04,5.107,0.345603277403801
21047,Bard-lès-Époisses,Bourgogne-Franche-Comté,Côte-d'Or,47.528,4.225,0.3336339530707928
21546,Saint-Didier,Bourgogne-Franche-Comté,Côte-d'Or,47.317,4.173,0.3381839671196035
