com_insee,com_nom,reg_nom,dep_nom,latitude_mairie,longitude_mairie,score_de_ville
01171,Géovreisset,Auvergne-Rhône-Alpes,Ain,46.251,5.613,0.3257318845676244
01330,Ruffieu,Auvergne-Rhône-Alpes,Ain,46.004,5.653,0.3278543919452408
01042,Bey,Auvergne-Rhône-Alpes,Ain,46.219,4.846,0.3163946748163213
01129,Crans,Auvergne-Rhône-Alpes,Ain,45.966,5.195,0.3084357180019792
01227,Magnieu,Auvergne-Rhône-Alpes,Ain,45.775,5.715,0.3406307160570101
01019,Armix,Auvergne-Rhône-Alpes,Ain,45.854,5.584,0.306941528470615
01234,Marignieu,Auvergne-Rhône-Alpes,Ain,45.801,5.716,0.3248931567466713
01428,Valeins,Auvergne-Rhône-Alpes,Ain,46.115,4.866,0.3123042949847904
01023,Asnières-sur-Saône,Auvergne-Rhône-Alpes,Ain,46.386,4.884,0.3015130535444328
01277,Nivollet-Montgriffon,Auvergne-Rhône-Alpes,Ain,46.0,5.458,0.308908477882149
01359,Saint-Germain-sur-Renon,Auvergne-Rhône-Alpes,Ain,46.08,5.061,0.3227816443247351
01242,Mérignat,Auvergne-Rhône-Alpes,Ain,46.065,5.442,0.3179663591391424
01214,Leyssard,Auvergne-Rhône-Alpes,Ain,46.162,5.476,0.317204885487056
01036,Valromey-sur-Séran,Auvergne-Rhône-Alpes,Ain,45.885,5.651,0.3379378222817941
01382,Sainte-Olive,Auvergne-Rhône-Alpes,Ain,46.014,4.936,0.3546019477453196
01146,Dompierre-sur-Chalaronne,Auvergne-Rhône-Alpes,Ain,46.142,4.901,0.3126141626216781
01013,Arandas,Auvergne-Rhône-Alpes,Ain,45.891,5.499,0.2956610940383454
01400,Seillonnaz,Auvergne-Rhône-Alpes,Ain,45.798,5.498,0.2999488962070765
01056,Boyeux-Saint-Jérôme,Auvergne-Rhône-Alpes,Ain,46.036,5.463,0.3044301506740697
01100,Cheignieu-la-Balme,Auvergne-Rhône-Alpes,Ain,45.823,5.605,0.2992310842797028
01309,Pouillat,Auvergne-Rhône-Alpes,Ain,46.322,5.423,0.309063067662801
01066,La Burbanche,Auvergne-Rhône-Alpes,Ain,45.86,5.546,0.2854889929933449
01177,Grand-Corent,Auvergne-Rhône-Alpes,Ain,46.207,5.433,0.3094555649591372
01193,Izieu,Auvergne-Rhône-Alpes,Ain,45.656,5.639,0.3026397608988453
01456,Vongnes,Auvergne-Rhône-Alpes,Ain,45.813,5.725,0.3384813342218341
01077,Challes-la-Montagne,Auvergne-Rhône-Alpes,Ain,46.122,5.458,0.3039349918474477
01051,Bolozon,Auvergne-Rhône-Alpes,Ain,46.196,5.471,0.409843305566874
01317,Ramasse,Auvergne-Rhône-Alpes,Ain,46.191,5.356,0.3287695974998425
01433,Vernoux,Auvergne-Rhône-Alpes,Ain,46.485,5.106,0.3258537217067946
01016,Arbigny,Auvergne-Rhône-Alpes,Ain,46.478,4.96,0.3064880211164284
01106,Cize,Auvergne-Rhône-Alpes,Ain,46.2,5.451,0.310040863520279
01101,Chevillard,Auvergne-Rhône-Alpes,Ain,46.11,5.581,0.3103509514124774
01280,Ordonnaz,Auvergne-Rhône-Alpes,Ain,45.834,5.54,0.2966746726052965
01067,Ceignes,Auvergne-Rhône-Alpes,Ain,46.126,5.495,0.3827261170889205
01215,Surjoux-Lhopital,Auvergne-Rhône-Alpes,Ain,46.024,5.762,0.3175116205429935
01162,Flaxieu,Auvergne-Rhône-Alpes,Ain,45.811,5.745,0.3280711955563127
01002,L'Abergement-de-Varey,Auvergne-Rhône-Alpes,Ain,46.009,5.428,0.3182325456509212
01110,Colomieu,Auvergne-Rhône-Alpes,Ain,45.736,5.627,0.2993974281377419
01035,Belleydoux,Auvergne-Rhône-Alpes,Ain,46.253,5.785,0.3306917183228723
01174,Giron,Auvergne-Rhône-Alpes,Ain,46.223,5.78,0.3108089383868265
01045,Birieux,Auvergne-Rhône-Alpes,Ain,45.953,5.037,0.3461864610125206
01230,Mantenay-Montlin,Auvergne-Rhône-Alpes,Ain,46.43,5.107,0.3096336810348669
01121,Corlier,Auvergne-Rhône-Alpes,Ain,46.034,5.496,0.3276412861526544
01052,Bouligneux,Auvergne-Rhône-Alpes,Ain,46.023,4.992,0.3422548457290934
01039,Béon,Auvergne-Rhône-Alpes,Ain,45.857,5.752,
01293,Peyriat,Auvergne-Rhône-Alpes,Ain,46.15,5.506,0.3205852617655091
01111,Conand,Auvergne-Rhône-Alpes,Ain,45.884,5.475,0.2991232276922088
01406,Servignat,Auvergne-Rhône-Alpes,Ain,46.435,5.056,0.3061481027256187
01331,Saint-Alban,Auvergne-Rhône-Alpes,Ain,46.098,5.456,0.3112488912726115
01437,Vescours,Auvergne-Rhône-Alpes,Ain,46.474,5.026,0.3241678377942864
01076,Chaley,Auvergne-Rhône-Alpes,Ain,45.953,5.537,0.2984705650116249
